Year,Units,Սեռ,Value
2015,"100,000 բնակչի հաշվով",Total,0.3
2016,"100,000 բնակչի հաշվով",Total,0.2
2017,"100,000 բնակչի հաշվով",Total,0.3
2015,դեպք,Total,8.0
2016,դեպք,Total,7.0
2017,դեպք,Total,10.0
2018,"100,000 բնակչի հաշվով",Total,0.6
2018,դեպք,Total,19.0
2019,"100,000 բնակչի հաշվով",Total,1.0
2019,դեպք,Total,30.0
2020,"100,000 բնակչի հաշվով",Total,0.3
2020,դեպք,Total,10.0
2021,"100,000 բնակչի հաշվով",Total,0.7
2021,դեպք,Total,20.0
2015,"100,000 բնակչի հաշվով",տղամարդ,0.3
2015,դեպք,տղամարդ,5.0
2015,"100,000 բնակչի հաշվով",կին,0.2
2015,դեպք,կին,3.0
2016,դեպք,տղամարդ,4.0
2016,"100,000 բնակչի հաշվով",տղամարդ,0.3
2016,դեպք,կին,3.0
2016,"100,000 բնակչի հաշվով",կին,0.2
2017,դեպք,տղամարդ,6.0
2017,"100,000 բնակչի հաշվով",տղամարդ,0.4
2017,դեպք,կին,4.0
2017,"100,000 բնակչի հաշվով",կին,0.3
2018,դեպք,տղամարդ,15.0
2018,"100,000 բնակչի հաշվով",տղամարդ,1.1
2018,դեպք,կին,4.0
2018,"100,000 բնակչի հաշվով",կին,0.3
2019,դեպք,տղամարդ,19.0
2019,"100,000 բնակչի հաշվով",տղամարդ,1.4
2019,դեպք,կին,11.0
2019,"100,000 բնակչի հաշվով",կին,0.7
2020,դեպք,տղամարդ,8.0
2020,"100,000 բնակչի հաշվով",տղամարդ,0.6
2020,դեպք,կին,2.0
2020,"100,000 բնակչի հաշվով",կին,0.1
2021,դեպք,տղամարդ,12.0
2021,"100,000 բնակչի հաշվով",տղամարդ,0.9
2021,դեպք,կին,8.0
2021,"100,000 բնակչի հաշվով",կին,0.5
