Year,Пол,Место нахождения,Возраст,Disability,Quintiles,услуги,Value
2015,,,,,,водоснабжение,83.0
2016,,,,,,водоснабжение,85.8
2017,,,,,,водоснабжение,85.8
2018,,,,,,водоснабжение,87.3
2019,,,,,,водоснабжение,89.6
2020,,,,,,водоснабжение,94.0
2021,,,,,,водоснабжение,95.0
2015,,,,,,канализация,72.3
2016,,,,,,канализация,70.8
2017,,,,,,канализация,74.2
2018,,,,,,канализация,76.5
2019,,,,,,канализация,94.6
2020,,,,,,канализация,97.5
2021,,,,,,канализация,99.0
2015,,,,,,вывоз мусора,78.2
2016,,,,,,вывоз мусора,79.8
2017,,,,,,вывоз мусора,76.4
2018,,,,,,вывоз мусора,78.7
2019,,,,,,вывоз мусора,82.3
2020,,,,,,вывоз мусора,96.4
2021,,,,,,вывоз мусора,97.7
2015,,,,,,телефон стационарный,61.1
2016,,,,,,телефон стационарный,57.1
2017,,,,,,телефон стационарный,53.1
2018,,,,,,телефон стационарный,49.2
2019,,,,,,телефон стационарный,96.7
2020,,,,,,телефон стационарный,98.8
2021,,,,,,телефон стационарный,98.6
2015,,,,,,электроснабжение,97.9
2016,,,,,,электроснабжение,98.0
2017,,,,,,электроснабжение,98.4
2018,,,,,,электроснабжение,98.9
2019,,,,,,электроснабжение,97.7
2020,,,,,,электроснабжение,98.7
2021,,,,,,электроснабжение,99.0
2015,,,,,,почтовые услуги,80.6
2016,,,,,,почтовые услуги,76.5
2017,,,,,,почтовые услуги,75.8
2018,,,,,,почтовые услуги,73.5
2019,,,,,,почтовые услуги,96.3
2020,,,,,,почтовые услуги,97.3
2021,,,,,,почтовые услуги,97.5
2015,,,,,,банковские услуги,74.4
2016,,,,,,банковские услуги,70.8
2017,,,,,,банковские услуги,71.9
2018,,,,,,банковские услуги,73.7
2019,,,,,,банковские услуги,86.1
2020,,,,,,банковские услуги,88.9
2021,,,,,,банковские услуги,90.5
2015,,,,,,орошение,17.6
2016,,,,,,орошение,23.7
2017,,,,,,орошение,22.8
2018,,,,,,орошение,21.5
2019,,,,,,орошение,
2020,,,,,,орошение,
2021,,,,,,орошение,
2015,,,,,,здравоохранение,61.5
2016,,,,,,здравоохранение,61.4
2017,,,,,,здравоохранение,63.6
2018,,,,,,здравоохранение,62.3
2019,,,,,,здравоохранение,78.1
2020,,,,,,здравоохранение,87.1
2021,,,,,,здравоохранение,91.0
2021,мужчина,,,,,здравоохранение,90.8
2021,женщина,,,,,здравоохранение,89.0
2021,,город,,,,здравоохранение,88.5
2021,,село,,,,здравоохранение,94.7
2021,,,aged 0-25 years,,,здравоохранение,85.6
2021,,,aged 25-34 years,,,здравоохранение,94.2
2021,,,aged 35-44 years,,,здравоохранение,89.9
2021,,,aged 45-54 years,,,здравоохранение,90.2
2021,,,aged 55-64 years,,,здравоохранение,90.0
2021,,,aged 65 and over,,,здравоохранение,89.5
2021,,,,инвалиды,,здравоохранение,87.5
2021,,,,not disabled,,здравоохранение,90.0
2021,,,,,1.0,здравоохранение,93.8
2021,,,,,2.0,здравоохранение,90.6
2021,,,,,3.0,здравоохранение,90.6
2021,,,,,4.0,здравоохранение,90.7
2021,,,,,5.0,здравоохранение,89.7
2015,,,,,,образование,52.3
2016,,,,,,образование,53.8
2017,,,,,,образование,56.3
2018,,,,,,образование,54.9
2019,,,,,,образование,85.1
2020,,,,,,образование,90.5
2021,,,,,,образование,89.1
2021,мужчина,,,,,образование,89.2
2021,женщина,,,,,образование,88.6
2021,,город,,,,образование,86.1
2021,,село,,,,образование,92.6
2021,,,aged 0-25 years,,,образование,84.5
2021,,,aged 25-34 years,,,образование,91.8
2021,,,aged 35-44 years,,,образование,85.0
2021,,,aged 45-54 years,,,образование,90.0
2021,,,aged 55-64 years,,,образование,91.2
2021,,,aged 65 and over,,,образование,89.6
2021,,,,инвалиды,,образование,89.2
2021,,,,not disabled,,образование,89.0
2021,,,,,1.0,образование,89.5
2021,,,,,2.0,образование,89.1
2021,,,,,3.0,образование,86.4
2021,,,,,4.0,образование,88.7
2021,,,,,5.0,образование,92.6
2015,,,,,,общественный транспорт,81.2
2016,,,,,,общественный транспорт,82.2
2017,,,,,,общественный транспорт,76.6
2018,,,,,,общественный транспорт,72.1
2019,,,,,,общественный транспорт,75.9
2020,,,,,,общественный транспорт,82.8
2021,,,,,,общественный транспорт,79.0
